id,source,periodicity,geographic_extent,measure,divisions
4025,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4026,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4027,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4028,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4029,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
403,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4030,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4031,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
404,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4044,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4045,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4046,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4047,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4048,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4049,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4050,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4051,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
4053,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
500,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5001,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5004,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5005,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5010,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5011,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
501,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5013,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5014,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5015,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5016,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
502,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5020,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5021,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5022,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5023,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5024,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5025,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5026,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
503,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5030,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5033,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5034,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5035,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5036,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5037,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5038,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
504,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5042,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5043,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5045,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5046,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5047,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5048,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5049,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
506,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5060,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5061,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5062,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5063,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5064,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5065,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5066,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5067,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5068,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5069,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5070,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5071,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5072,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5073,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5074,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5075,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5076,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5077,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
510,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5101,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5102,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5103,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
5104,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
512,BRÅ,year,Sweden,count,"counties,municipalities,city_districts"
