id,label,smhi_id,municipality,parent,neighbours
smhi_134190,Tullus D,134190,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_133420,smhi_133500,smhi_134170,smhi_134270,smhi_134310,smhi_133300,smhi_134590"
smhi_134270,Långan D,134270,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_134190,smhi_133420,smhi_133500,smhi_134170,smhi_134310,smhi_133300,smhi_134590"
smhi_134310,Lundsjön,134310,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_134190,smhi_133420,smhi_133500,smhi_134170,smhi_134270,smhi_133300,smhi_134590"
smhi_134410,Föllinge A,134410,Krokoms kommun,Jämtlands län,"smhi_134190,smhi_133420,smhi_133500,smhi_134170,smhi_134270,smhi_134310,smhi_133300,smhi_134590"
smhi_134590,Almdalen,134590,Krokoms kommun,Jämtlands län,"smhi_134410,smhi_134190,smhi_133420,smhi_133500,smhi_134170,smhi_134270,smhi_134310,smhi_133300"
smhi_135020,Västerövsjö D,135020,Bräcke kommun,Jämtlands län,"smhi_135040,smhi_125440,smhi_126430,smhi_125510"
smhi_135040,Rissna D,135040,Bräcke kommun,Jämtlands län,"smhi_125440,smhi_126430,smhi_135020,smhi_125510"
smhi_135260,Borgvattnet D,135260,Ragunda kommun,Jämtlands län,"smhi_136090,smhi_136020"
smhi_135350,Hammerdal D,135350,Strömsunds kommun,Jämtlands län,"smhi_145090,smhi_146050,smhi_135580,smhi_144230,smhi_144560,smhi_144530,smhi_143440,smhi_136490,smhi_136560,smhi_144240,smhi_144310,smhi_145150,smhi_144220,smhi_135550,smhi_145130,smhi_135460"
smhi_135460,Hallhåxåsen A,135460,Strömsunds kommun,Jämtlands län,"smhi_145090,smhi_146050,smhi_135580,smhi_144230,smhi_144560,smhi_135350,smhi_143440,smhi_136490,smhi_136560,smhi_144240,smhi_144310,smhi_145150,smhi_144220,smhi_135550,smhi_145130,smhi_144530"
smhi_135550,Strömsund-Edet D,135550,Strömsunds kommun,Jämtlands län,"smhi_145090,smhi_146050,smhi_135580,smhi_144230,smhi_144560,smhi_135350,smhi_143440,smhi_136490,smhi_136560,smhi_144240,smhi_144310,smhi_145150,smhi_144220,smhi_144530,smhi_145130,smhi_135460"
smhi_135580,Lövberga D,135580,Strömsunds kommun,Jämtlands län,"smhi_145090,smhi_146050,smhi_136560,smhi_144230,smhi_144560,smhi_135350,smhi_143440,smhi_136490,smhi_144240,smhi_144310,smhi_145150,smhi_144220,smhi_144530,smhi_135550,smhi_145130,smhi_135460"
smhi_136020,Bispgården,136020,Ragunda kommun,Jämtlands län,"smhi_135260,smhi_136090"
